Step,Action,Price,Portfolio Value
0,0,443.16,10000.0
1,0,443.17,10000.0
2,0,443.18,10000.0
3,2,443.3,10000.0
4,0,443.35,10000.0
5,0,443.31,10000.0
6,2,443.28,10000.0
7,1,443.32,10000.0
8,1,443.3,10000.88
9,1,443.38,10000.44
10,1,443.38,10002.2
11,0,443.5,10002.2
12,1,443.53,10004.84
13,2,443.51,10005.5
14,0,443.41,10005.5
15,1,443.52,10005.5
16,2,443.46,10007.919999999998
17,2,443.62,10007.919999999998
18,1,443.62,10007.919999999998
19,2,443.64,10007.919999999998
20,1,443.96,10007.919999999998
21,2,443.9,10014.959999999997
22,1,443.88,10014.959999999997
23,1,443.84,10014.519999999999
24,0,443.91,10013.639999999998
25,1,443.89,10015.179999999998
26,0,443.78,10014.739999999998
27,0,443.64,10012.319999999998
28,0,443.69,10009.239999999998
29,1,443.46,10010.339999999998
30,1,443.42,10005.279999999997
31,2,443.71,10004.399999999998
32,1,443.44,10004.399999999998
33,0,443.48,9998.46
34,2,443.78,9999.34
35,0,443.6,9999.34
36,0,443.75,9999.34
37,0,443.73,9999.34
38,0,443.84,9999.34
39,1,443.8,9999.34
40,0,443.64,9998.460000000001
41,2,443.67,9994.94
42,1,443.87,9994.94
43,0,443.68,9999.34
44,1,443.76,9995.160000000002
45,0,443.89,9996.92
46,0,443.84,9999.78
47,0,443.59,9998.68
48,1,443.76,9993.18
49,1,443.8,9996.92
50,2,443.7,9997.800000000001
51,2,443.63,9997.800000000001
52,0,443.7,9997.800000000001
53,0,443.72,9997.800000000001
54,1,443.76,9997.800000000001
55,2,443.64,9998.68
56,0,443.66,9998.68
57,0,443.56,9998.68
58,1,443.61,9998.68
59,2,443.52,9999.78
60,2,443.4,9999.78
61,0,443.4,9999.78
62,0,443.37,9999.78
63,1,443.48,9999.78
64,0,443.48,10002.200000000003
65,2,443.59,10002.200000000003
66,0,443.74,10002.200000000003
67,2,443.76,10002.200000000003
68,2,443.67,10002.200000000003
69,2,443.7,10002.200000000003
70,0,443.76,10002.200000000003
71,1,443.76,10002.200000000003
72,1,443.79,10002.200000000003
73,1,443.76,10002.860000000004
74,2,443.73,10002.200000000003
75,1,443.73,10002.200000000003
76,0,443.72,10002.200000000003
77,1,443.74,10001.980000000001
78,1,443.85,10002.420000000002
79,1,443.83,10004.840000000002
80,2,443.87,10004.400000000001
81,1,443.87,10004.400000000001
82,1,443.87,10004.400000000001
83,0,443.87,10004.400000000001
84,2,443.94,10004.400000000001
85,1,443.91,10004.400000000001
86,2,443.86,10003.740000000002
87,2,443.86,10003.740000000002
88,0,443.83,10003.740000000002
89,0,443.81,10003.740000000002
90,2,443.81,10003.740000000002
91,0,443.81,10003.740000000002
92,1,443.76,10003.740000000002
93,0,443.74,10002.640000000001
94,1,443.85,10002.200000000003
95,2,443.86,10004.620000000003
96,1,443.94,10004.620000000003
97,2,443.94,10006.380000000003
98,1,444.08,10006.380000000003
99,2,444.15,10009.460000000003
100,0,444.17,10009.460000000003
101,1,444.24,10009.460000000003
102,0,444.25,10011.000000000004
103,0,444.18,10011.220000000003
104,1,444.12,10009.680000000004
105,1,444.14,10008.360000000002
106,0,444.17,10008.800000000003
107,0,444.16,10009.460000000003
108,2,444.05,10009.240000000003
109,0,444.13,10009.240000000003
110,1,444.06,10009.240000000003
111,2,444.05,10007.700000000003
112,1,444.11,10007.700000000003
113,1,443.87,10009.020000000002
114,2,444.0,10003.740000000002
115,1,443.97,10003.740000000002
116,1,443.96,10003.080000000002
117,0,443.9,10002.86
118,1,443.86,10001.54
119,1,443.97,10000.660000000002
120,2,443.89,10003.080000000002
121,0,443.85,10003.080000000002
122,1,443.95,10003.080000000002
123,1,443.92,10005.28
124,1,443.85,10004.62
125,1,443.9,10003.080000000002
126,2,443.99,10004.18
127,1,444.01,10004.18
128,1,444.08,10004.619999999999
129,2,444.04,10006.16
130,2,443.99,10006.16
131,1,444.09,10006.16
132,2,444.18,10008.359999999999
133,2,444.19,10008.359999999999
134,0,444.15,10008.359999999999
135,1,444.15,10008.359999999999
136,0,444.15,10008.359999999999
137,2,444.36,10008.359999999999
138,1,444.22,10008.359999999999
139,0,444.2,10005.279999999999
140,1,444.21,10004.839999999998
141,2,444.22,10005.059999999998
142,2,444.38,10005.059999999998
143,1,444.63,10005.059999999998
144,1,444.61,10010.559999999998
145,2,444.55,10010.119999999997
146,0,444.53,10010.119999999997
147,2,444.47,10010.119999999997
148,2,444.41,10010.119999999997
149,1,444.47,10010.119999999997
150,1,444.44,10011.439999999997
151,1,444.41,10010.779999999997
152,1,444.59,10010.119999999997
153,0,444.39,10014.079999999996
154,2,444.38,10009.679999999997
155,1,444.2,10009.679999999997
156,1,444.34,10005.719999999996
157,1,444.34,10008.799999999996
158,2,444.2,10008.799999999996
159,2,444.22,10008.799999999996
160,1,444.44,10008.799999999996
161,1,444.43,10013.639999999996
162,1,444.39,10013.419999999996
163,0,444.38,10012.539999999995
164,1,444.2,10012.319999999996
165,2,444.11,10008.359999999995
166,0,444.0,10008.359999999995
167,2,444.13,10008.359999999995
168,2,444.0,10008.359999999995
169,2,444.1,10008.359999999995
170,2,444.0,10008.359999999995
171,1,444.0,10008.359999999995
