Step,Action,Price,Portfolio Value
0,[0 0 2],443.16,10000.0
1,[2 1 1],443.17,10000.0
2,[1 0 0],443.18,9988.83
3,[1 0 0],443.3,9997.78
4,[0 0 1],443.35,9996.35
5,[1 1 0],443.31,9996.65
6,[2 0 1],443.28,9997.94
7,[1 1 2],443.32,9999.24
8,[1 2 1],443.3,9988.49
9,[2 0 2],443.38,9988.49
10,[2 1 1],443.38,9988.49
11,[1 2 2],443.5,9989.5
12,[1 1 2],443.53,9989.5
13,[1 2 2],443.51,9990.16
14,[1 2 2],443.41,9989.72
15,[2 2 1],443.52,9987.52
16,[1 2 2],443.46,9978.16
17,[1 2 0],443.62,9978.16
18,[2 0 2],443.62,9981.68
19,[1 0 1],443.64,9981.68
20,[0 2 2],443.96,9982.210000000001
21,[1 0 1],443.9,9989.25
22,[2 1 0],443.88,9987.92
23,[2 1 0],443.84,9982.38
24,[1 2 2],443.91,9981.63
25,[0 1 2],443.89,9981.63
26,[2 1 1],443.78,9980.13
27,[2 0 2],443.64,9979.599999999999
28,[2 1 0],443.69,9978.599999999999
29,[2 0 0],443.46,9981.099999999999
30,[1 1 1],443.42,9984.35
31,[0 0 1],443.71,9984.869999999999
32,[1 1 2],443.44,9984.359999999999
33,[1 1 1],443.48,9986.109999999999
34,[2 0 0],443.78,9986.329999999998
35,[2 0 1],443.6,9984.529999999999
36,[1 1 1],443.75,9984.079999999998
37,[1 1 0],443.73,9983.05
38,[0 1 1],443.84,9984.099999999999
39,[2 1 1],443.8,9987.849999999999
40,[0 1 0],443.64,9988.8
41,[0 0 0],443.67,9987.829999999998
42,[2 0 1],443.87,9987.48
43,[1 2 1],443.68,9987.769999999999
44,[2 2 0],443.76,9985.609999999999
45,[0 0 0],443.89,9984.89
46,[2 0 0],443.84,9985.609999999999
47,[2 1 1],443.59,9989.21
48,[0 1 2],443.76,9991.369999999999
49,[1 1 1],443.8,9991.369999999999
50,[1 0 2],443.7,9992.25
51,[0 0 2],443.63,9990.05
52,[0 0 2],443.7,9988.51
53,[1 0 1],443.72,9990.05
54,[2 0 2],443.76,9990.47
55,[1 1 0],443.64,9990.47
56,[2 0 1],443.66,9987.83
57,[2 2 1],443.56,9988.549999999997
58,[2 1 2],443.61,9986.389999999998
59,[0 0 2],443.52,9986.389999999998
60,[1 2 0],443.4,9986.389999999998
61,[0 2 0],443.4,9983.749999999998
62,[0 2 0],443.37,9983.749999999998
63,[2 0 1],443.48,9983.089999999998
64,[1 0 0],443.48,9983.089999999998
65,[2 0 1],443.59,9981.649999999998
66,[1 2 1],443.74,9985.249999999998
67,[2 2 2],443.76,9991.009999999997
68,[2 2 1],443.67,9991.009999999997
69,[1 0 2],443.7,9993.169999999998
70,[1 2 0],443.76,9993.169999999998
71,[2 0 0],443.76,9994.489999999998
72,[0 2 1],443.79,9994.489999999998
73,[1 0 2],443.76,9994.489999999998
74,[2 0 0],443.73,9994.489999999998
75,[0 1 2],443.73,9994.489999999998
76,[2 2 1],443.72,9994.989999999998
77,[2 2 1],443.74,9997.15
78,[1 1 1],443.85,9996.429999999997
79,[2 1 1],443.83,9993.549999999997
80,[2 1 2],443.87,9995.709999999997
81,[2 0 2],443.87,9995.709999999997
82,[0 2 0],443.87,9995.709999999997
83,[2 1 2],443.87,9995.709999999997
84,[0 2 0],443.94,9995.209999999997
85,[2 0 1],443.91,9995.209999999997
86,[1 1 2],443.86,9994.489999999998
87,[1 2 1],443.86,9994.489999999998
88,[2 1 2],443.83,9994.439999999997
89,[2 2 1],443.81,10006.689999999997
90,[1 0 2],443.81,10009.569999999996
91,[2 0 0],443.81,10009.569999999996
92,[2 1 1],443.76,10009.569999999996
93,[1 2 2],443.74,10015.559999999996
94,[2 2 0],443.85,10015.559999999996
95,[2 2 1],443.86,10015.559999999996
96,[1 0 1],443.94,10016.279999999995
97,[1 1 2],443.94,10011.959999999995
98,[0 0 1],444.08,10011.959999999995
99,[0 2 2],444.15,10014.839999999995
100,[2 0 1],444.17,10014.839999999995
101,[2 2 1],444.24,10014.839999999995
102,[2 2 2],444.25,10013.399999999994
103,[2 0 2],444.18,10013.399999999994
104,[1 1 2],444.12,10013.399999999994
105,[0 0 1],444.14,10012.079999999993
106,[2 0 1],444.17,10012.469999999992
107,[1 1 2],444.16,10013.909999999993
108,[0 2 2],444.05,10013.909999999993
109,[0 1 1],444.13,10013.909999999993
110,[2 0 0],444.06,10018.669999999993
111,[0 2 0],444.05,10023.019999999991
112,[0 2 0],444.11,10022.979999999992
113,[0 0 0],443.87,10022.829999999993
114,[1 0 2],444.0,10022.849999999991
115,[0 1 1],443.97,10025.709999999992
116,[0 0 1],443.96,10025.039999999992
117,[2 1 1],443.9,10024.90999999999
118,[2 1 0],443.86,10024.669999999991
119,[0 1 2],443.97,10018.72999999999
120,[2 1 0],443.89,10024.47999999999
121,[0 1 2],443.85,10012.47999999999
122,[1 1 0],443.95,10008.22999999999
123,[2 1 0],443.92,10003.22999999999
124,[0 0 1],443.85,10009.22999999999
125,[0 2 0],443.9,10008.169999999991
126,[2 1 0],443.99,10008.209999999992
127,[0 1 1],444.01,10007.39999999999
128,[2 2 2],444.08,10008.109999999991
129,[2 0 2],444.04,10008.109999999991
130,[1 1 2],443.99,10008.109999999991
131,[2 2 0],444.09,10007.009999999991
132,[0 1 0],444.18,10007.009999999991
133,[0 2 0],444.19,10001.759999999991
134,[0 1 1],444.15,10001.759999999991
135,[2 1 1],444.15,10001.24999999999
136,[1 0 0],444.15,9992.589999999991
137,[1 1 0],444.36,9979.11999999999
138,[1 1 2],444.22,9987.32999999999
139,[2 1 1],444.2,9995.57999999999
140,[2 2 0],444.21,9988.84999999999
141,[0 0 1],444.22,9988.81999999999
142,[1 2 0],444.38,9988.09999999999
143,[0 2 2],444.63,9992.41999999999
144,[0 2 0],444.61,9992.41999999999
145,[1 0 2],444.55,9992.41999999999
146,[0 2 0],444.53,9991.09999999999
147,[0 0 2],444.47,9990.659999999989
148,[2 2 0],444.41,9989.33999999999
149,[0 1 2],444.47,9989.33999999999
150,[1 1 1],444.44,9996.48249999999
151,[0 2 1],444.41,10004.962499999989
152,[1 2 2],444.59,9995.60249999999
153,[1 0 1],444.39,9995.60249999999
154,[2 2 2],444.38,9991.14249999999
155,[0 1 2],444.2,9991.14249999999
156,[0 0 1],444.34,9994.59749999999
157,[0 1 2],444.34,9991.082499999991
158,[1 2 1],444.2,9980.582499999991
159,[2 2 0],444.22,9979.86249999999
160,[0 0 0],444.44,9977.70249999999
161,[0 1 1],444.43,9976.982499999991
162,[0 1 0],444.39,9971.22249999999
163,[1 1 1],444.38,9968.342499999992
164,[2 0 2],444.2,9970.502499999991
165,[2 2 1],444.11,9970.502499999991
166,[2 0 1],444.0,9975.54249999999
167,[2 2 0],444.13,9974.822499999991
168,[1 2 0],444.0,9985.62249999999
169,[0 0 2],444.1,9984.18249999999
170,[2 1 0],444.0,9984.18249999999
171,[2 1 2],444.0,9983.97999999999
172,[1 2 1],444.0,9979.97999999999
173,[2 0 0],444.19,9987.179999999991
174,[1 2 2],444.24,9985.01999999999
175,[0 0 1],444.21,9985.01999999999
176,[1 1 0],444.2,9991.03919999999
177,[1 1 0],444.21,9993.19919999999
178,[1 0 2],444.1,9991.03919999999
179,[0 0 1],444.23,9991.03919999999
180,[2 2 0],444.29,9996.784799999989
181,[1 2 2],444.2374,9992.824799999991
182,[2 2 0],444.75,9992.824799999991
183,[1 1 2],444.173,9992.824799999991
184,[2 2 2],443.9403,9980.130799999992
185,[1 1 1],444.0898,9980.130799999992
186,[2 1 2],444.11,9983.497399999993
187,[1 2 2],444.055,9992.247399999993
188,[1 2 0],444.0,9992.247399999993
189,[1 1 0],443.92,9991.037399999992
190,[2 2 0],443.965,9989.277399999992
191,[2 1 0],443.965,9989.277399999992
192,[1 1 0],443.935,9990.277399999992
193,[2 2 2],444.0,9983.277399999992
194,[2 2 0],443.88,9983.277399999992
195,[2 0 0],443.69,9983.277399999992
196,[1 1 1],443.73,9983.277399999992
197,[1 2 2],443.67,9984.107399999994
198,[2 0 1],443.5,9982.787399999992
199,[0 0 1],443.24,9975.687399999992
200,[1 0 2],443.9,9976.397399999993
201,[1 2 0],443.87,9976.397399999993
