Step,Action,Price,Portfolio Value
0,[1 0 1],443.16,10000.0
1,[0 1 1],443.17,10001.36
2,[2 2 0],443.18,10001.66
3,[2 0 1],443.3,10001.61
4,[0 2 0],443.35,10006.650000000001
5,[2 0 0],443.31,10010.25
6,[0 0 2],443.28,10013.130000000003
7,[1 0 2],443.32,10013.130000000003
8,[1 1 2],443.3,10014.010000000002
9,[0 1 2],443.38,10013.570000000003
10,[0 2 1],443.38,10015.330000000004
11,[1 2 0],443.5,10015.340000000004
12,[2 0 0],443.53,10018.020000000004
13,[2 2 0],443.51,10018.050000000003
14,[1 1 0],443.41,10018.070000000003
15,[1 2 0],443.52,10015.850000000004
16,[0 0 1],443.46,10018.140000000003
17,[1 1 2],443.62,10016.770000000004
18,[2 2 2],443.62,10020.290000000005
19,[1 0 2],443.64,10020.290000000005
20,[2 2 2],443.96,10020.730000000005
21,[2 1 1],443.9,10020.730000000005
22,[1 1 0],443.88,10025.970000000005
23,[1 0 1],443.84,10020.430000000004
24,[2 0 0],443.91,10019.680000000004
25,[1 1 2],443.89,10022.490000000005
26,[2 0 1],443.78,10020.990000000005
27,[1 0 0],443.64,10020.460000000005
28,[2 0 1],443.69,10019.420000000006
29,[0 0 1],443.46,10021.900000000005
30,[1 1 2],443.42,10025.190000000004
31,[2 0 0],443.71,10025.690000000004
32,[2 0 1],443.44,10025.190000000004
33,[1 1 2],443.48,10026.970000000005
34,[1 0 1],443.78,10027.220000000005
35,[2 2 2],443.6,10025.420000000006
36,[2 1 1],443.75,10025.420000000006
37,[2 2 0],443.73,10024.390000000007
38,[0 1 2],443.84,10024.440000000006
39,[1 0 0],443.8,10028.190000000006
40,[0 0 1],443.64,10029.190000000006
41,[0 1 2],443.67,10028.220000000007
42,[0 2 2],443.87,10027.970000000007
43,[2 2 0],443.68,10027.970000000007
44,[1 2 0],443.76,10027.970000000007
45,[1 0 2],443.89,10029.730000000005
46,[0 0 1],443.84,10032.590000000006
47,[2 0 2],443.59,10031.540000000005
48,[0 1 1],443.76,10031.540000000005
49,[1 1 2],443.8,10031.730000000005
50,[1 1 0],443.7,10032.230000000005
51,[1 2 1],443.63,10033.230000000005
52,[0 0 2],443.7,10038.270000000004
53,[2 1 2],443.72,10038.270000000004
54,[2 1 2],443.76,10038.270000000004
55,[0 1 2],443.64,10047.020000000004
56,[1 2 2],443.66,10047.270000000004
57,[1 1 2],443.56,10047.270000000004
58,[1 0 0],443.61,10045.070000000003
59,[2 0 0],443.52,10046.170000000004
60,[1 1 0],443.4,10046.170000000004
61,[1 1 0],443.4,10043.530000000004
62,[0 2 2],443.37,10043.530000000004
63,[2 1 2],443.48,10042.870000000004
64,[2 0 0],443.48,10037.870000000004
65,[0 2 2],443.59,10043.370000000004
66,[2 1 1],443.74,10043.370000000004
67,[0 2 0],443.76,10040.950000000004
68,[0 1 2],443.67,10040.930000000004
69,[0 2 0],443.7,10035.430000000004
70,[2 0 0],443.76,10035.430000000004
71,[1 0 2],443.76,10035.430000000004
72,[2 0 2],443.79,10035.430000000004
73,[2 2 0],443.76,10035.430000000004
74,[1 1 0],443.73,10035.430000000004
75,[2 1 0],443.73,10034.770000000006
76,[2 2 0],443.72,10035.270000000006
77,[2 2 2],443.74,10035.270000000006
78,[2 0 1],443.85,10035.270000000006
79,[1 0 0],443.83,10032.390000000007
80,[1 0 0],443.87,10034.550000000007
81,[2 2 0],443.87,10033.830000000007
82,[1 2 0],443.87,10033.110000000006
83,[0 1 1],443.87,10033.830000000007
84,[1 1 2],443.94,10036.710000000006
85,[2 2 1],443.91,10036.710000000006
86,[2 0 1],443.86,10035.990000000007
87,[1 0 0],443.86,10045.350000000006
88,[0 1 2],443.83,10041.750000000005
89,[0 2 0],443.81,10041.750000000005
90,[0 2 0],443.81,10041.750000000005
91,[1 0 2],443.81,10041.750000000005
92,[2 1 0],443.76,10041.750000000005
93,[1 0 0],443.74,10047.750000000005
94,[1 1 0],443.85,10044.500000000005
95,[2 0 1],443.86,10042.250000000005
96,[2 0 2],443.94,10045.260000000006
97,[0 2 1],443.94,10054.010000000006
98,[0 2 2],444.08,10055.450000000006
99,[0 0 1],444.15,10055.450000000006
100,[2 1 2],444.17,10048.970000000007
101,[2 1 0],444.24,10048.970000000007
102,[0 1 2],444.25,10051.970000000007
103,[0 2 1],444.18,10048.470000000007
104,[2 0 2],444.12,10047.750000000005
105,[2 1 0],444.14,10047.750000000005
106,[0 0 2],444.17,10042.250000000005
107,[0 1 1],444.16,10047.000000000005
108,[1 0 1],444.05,10046.500000000005
109,[0 0 1],444.13,10050.260000000006
110,[0 0 1],444.06,10055.020000000006
111,[2 2 1],444.05,10059.370000000006
112,[0 1 0],444.11,10056.490000000005
113,[1 2 0],443.87,10045.690000000006
